stage,T,W,B,H,D,seed,dtype,lanz_correct,lanz_max_abs,lanz_relative_l2,lanz_cos,lanz_median_ms,lanz_mean_ms,lanz_min_ms,lanz_cv_pct,sdpa_median_ms,sdpa_mean_ms,sdpa_min_ms,sdpa_cv_pct,flash_available,flash_correct,flash_median_ms,flash_mean_ms,flash_min_ms,flash_cv_pct
V1D_RUNTIME_SMOKE,512,32,1,4,64,201,torch.float16,True,0.0009765625,9.418785560278437e-05,1.0,0.10874052532017231,0.11011415626853704,0.10339636355638504,6.065787445531085,0.41747442446649075,0.418974831700325,0.3434000536799431,5.088408428974604,True,True,0.34883455373346806,0.3504111897200346,0.3386908210813999,2.6878995039106237
V1D_RUNTIME_SMOKE,512,32,1,4,64,202,torch.float16,True,0.0009765625,9.408282429758193e-05,1.0,0.07743644528090954,0.07928533013910055,0.0758427195250988,6.240456403710631,0.3258301876485348,0.334188062697649,0.32374169677495956,7.344553313161672,True,True,0.2024136483669281,0.20958350505679846,0.19969791173934937,11.841512709943009
V1D_RUNTIME_SMOKE,512,32,1,4,64,203,torch.float16,True,0.00048828125,9.569288726458081e-05,1.0,0.050080008804798126,0.05052420310676098,0.04923297092318535,2.9032350254767096,0.21901889704167843,0.2201699186116457,0.21615810692310333,1.7032272072999777,True,True,0.20341458730399609,0.20572692155838013,0.20091980695724487,2.5839046299519097
V1D_RUNTIME_SMOKE,512,64,1,4,64,201,torch.float16,True,0.00048828125,0.00013150036416565518,1.0000001192092896,0.050520990043878555,0.051489961333572865,0.04976382479071617,6.265619046666262,0.22011110559105873,0.2298947423696518,0.21602865308523178,15.64115557507439,True,True,0.2004795242100954,0.20234722178429365,0.1984657719731331,2.1448088242237633
V1D_RUNTIME_SMOKE,512,64,1,4,64,202,torch.float16,True,0.00048828125,0.00013458056272587575,1.0,0.048431335017085075,0.049122259952127934,0.04742993041872978,5.762573274458929,0.21660956554114819,0.21925019100308418,0.2149459905922413,2.75371694393785,True,True,0.19938219338655472,0.20216044504195452,0.1964513212442398,3.045773695142375
V1D_RUNTIME_SMOKE,512,64,1,4,64,203,torch.float16,True,0.00048828125,0.00012936132309765248,1.0,0.04838709719479084,0.04888616967946291,0.04706019535660744,4.716258231781783,0.2156980335712433,0.2169657265767455,0.21378370001912117,1.8747913459508432,True,True,0.19979733042418957,0.2017059363424778,0.19751302897930145,2.3433921405706526
V1D_RUNTIME_SMOKE,1024,64,1,4,64,201,torch.float16,True,0.00048828125,0.00014221080482839938,1.0000001192092896,0.053085386753082275,0.05335293244570494,0.051637180149555206,2.2081665876376633,0.26321830227971077,0.2652666298672557,0.2611428499221802,1.75339623828222,True,True,0.20310399122536182,0.2060031285509467,0.19989768043160439,3.048993947099429
V1D_RUNTIME_SMOKE,1024,64,1,4,64,202,torch.float16,True,0.00048828125,0.00014656597221752912,1.0000001192092896,0.05336105823516846,0.05439994856715202,0.05191797390580177,5.5990562683489165,0.26329769752919674,0.2649955917149782,0.2614450640976429,1.8182379959628763,True,True,0.20275311544537544,0.20914392080157995,0.20043877884745598,9.119512379130489
V1D_RUNTIME_SMOKE,1024,64,1,4,64,203,torch.float16,True,0.00048828125,0.00014226678595386592,0.9999999403953552,0.05332101136445999,0.05387095734477043,0.05220901221036911,4.864014739881167,0.2630671951919794,0.2653432311490178,0.26097381487488747,2.1168249742028094,True,True,0.20286347717046738,0.20491646137088537,0.2010599710047245,2.3706365293959846
V1D_RUNTIME_SMOKE,1024,128,1,4,64,201,torch.float16,True,0.00048828125,0.00016798335926553775,1.0,0.05741836503148079,0.05790814757347107,0.05659693852066994,4.014283474549265,0.26355357840657234,0.2649066038429737,0.2603428438305855,1.6918841873552704,True,True,0.2026534639298916,0.20535194780677557,0.19984832033514977,2.7834969983803015
V1D_RUNTIME_SMOKE,1024,128,1,4,64,202,torch.float16,True,0.00048828125,0.000170473893908999,0.9999998807907104,0.05702790804207325,0.05728390533477068,0.05611591041088104,1.2842983713598757,0.26260153390467167,0.26410704012960196,0.2606823109090328,1.8191973928317755,True,True,0.20275311544537544,0.20507811568677425,0.1999279484152794,3.071923774205615
V1D_RUNTIME_SMOKE,1024,128,1,4,64,203,torch.float16,True,0.00048828125,0.0001673381929392994,1.0,0.05791941657662392,0.05841292440891266,0.056457240134477615,4.644169940977377,0.26377919130027294,0.28941379860043526,0.26204483583569527,36.306196512381476,True,True,0.20402041263878345,0.20554580260068178,0.20245229825377464,1.791356948375261
